ADSTRD_CD,ADSTRD_NM,FCLTY_LO,FCLTY_LA
2620063000,청학1동,129.0565721,35.09109838
2620053000,남항동,129.040101,35.091322
2611060000,영주제2동,129.032486,35.110145
2611054500,보수동,129.026158,35.104124
2635065000,재송제1동,129.127696,35.179839
2635057000,반여1동,129.1221257,35.21108151
2635055100,좌제1동,129.178746,35.173738
2623071000,가야1동,129.0344592,35.15044055
3023052500,회덕동,127.4314371,36.3782575
2720064000,대명9동,128.5837657,35.8361744
2729065000,본동,128.541795,35.833317
2729057200,용산2동,128.514912,35.85951
2729057100,용산1동,128.5285122,35.85598624
2720055000,봉덕3동,128.5908146,35.84416289
2771025600,다사읍,128.454841,35.860564
2771026200,옥포읍,128.471701,35.788996
2714054100,신암5동,128.631015,35.887483
2714072000,안심1동,128.705575,35.865851
2911054500,동명동,126.924351,35.150495
