행정구,행정동,전체인구,65세이상 인구
관악구,삼성동,20642,5498
관악구,미성동,30662,6054
서초구,서초1동,20622,3140
서초구,서초2동,26932,3396
서초구,서초3동,32379,5002
서초구,서초4동,30521,4346
서초구,잠원동,26393,3397
서초구,반포본동,292,41
서초구,반포1동,34443,4133
서초구,반포2동,15742,2103
서초구,반포3동,22773,3268
서초구,반포4동,19486,2996
서초구,방배본동,20778,3195
서초구,방배1동,16883,2990
서초구,방배2동,18553,3549
서초구,방배3동,17321,3301
서초구,방배4동,23429,3600
서초구,양재1동,42683,7254
서초구,양재2동,21766,3077
서초구,내곡동,17455,3440
강남구,신사동,15876,3071
강남구,개포3동,17382,3559
강남구,논현1동,22080,2974
강남구,논현2동,20814,3186
강남구,삼성1동,12739,2208
강남구,삼성2동,31062,3903
강남구,대치1동,23846,2684
강남구,대치4동,19491,2082
강남구,역삼1동,35556,3673
강남구,역삼2동,37269,3899
강남구,도곡1동,21274,3117
강남구,도곡2동,32846,5119
강남구,개포1동,6922,1676
강남구,개포4동,23639,3482
강남구,일원본동,23015,3382
강남구,일원1동,14987,3376
강남구,수서동,14402,4930
강남구,세곡동,43382,6899
강남구,압구정동,25902,5280
강남구,청담동,25489,3814
강남구,대치2동,37098,5334
강남구,개포2동,29032,3916
송파구,풍납1동,12910,2802
송파구,풍납2동,24426,4027
송파구,거여1동,12255,2497
송파구,거여2동,23745,4278
송파구,마천1동,18618,4317
송파구,마천2동,18150,4190
송파구,방이1동,15460,2324
송파구,방이2동,26354,3626
송파구,오륜동,17804,3065
송파구,오금동,38037,6807
송파구,송파1동,24008,3616
송파구,송파2동,18947,3018
송파구,석촌동,31602,4663
송파구,삼전동,29912,4153
송파구,가락본동,25883,3991
송파구,가락1동,27521,3814
송파구,가락2동,31670,4506
송파구,문정1동,19916,3198
송파구,문정2동,28841,4170
송파구,잠실본동,16713,3008
송파구,잠실4동,9427,2235
송파구,잠실6동,34876,3917
송파구,잠실7동,34143,6070
송파구,잠실2동,29102,4616
송파구,잠실3동,44613,3583
송파구,장지동,28358,3896
송파구,위례동,21223,2974
강동구,강일동,33057,5779
강동구,명일1동,25641,4262
강동구,명일2동,17327,2790
강동구,고덕1동,23919,3012
강동구,고덕2동,22764,3161
강동구,암사2동,15069,2521
강동구,암사3동,17481,2817
강동구,천호1동,26670,5442
강동구,천호3동,26679,4806
강동구,성내1동,19900,3191
강동구,성내2동,23528,4447
강동구,성내3동,23071,4091
강동구,둔촌1동,73,11
강동구,둔촌2동,24277,4244
강동구,암사1동,34271,6290
강동구,천호2동,33825,6109
강동구,길동,45374,8474
강동구,상일1동,39178,4835
강동구,상일2동,11933,1909
