시군구명,행정동명,총생활인구수,총노인시설수,입소정원,총노인생활인구수,노인생활인구비율,국민기초생활보장 수급권자,저소득노인,normal,Total bus,Total subway,Total Transportation,전체인구,65세이상 인구,고령자 비율
중구,명동,36805.14783965053,0.0,29.0,1778.6880626344087,20.692300472933155,30.0,2.0,160.0,34.0,6.0,40.0,3638,778,4.676092544987147
중구,필동,14392.644173790322,0.0,29.0,1109.6199340053763,12.9707873234013,52.0,9.0,252.0,10.0,1.0,11.0,4816,885,5.4418079096045195
중구,장충동,12580.356364784944,0.0,29.0,885.9124407258065,14.200451180568324,57.0,6.0,189.0,13.0,1.0,14.0,5326,866,6.150115473441109
중구,광희동,24360.17503763441,0.0,29.0,1849.4895568548386,13.171296343549116,110.0,13.0,318.0,24.0,2.0,26.0,6682,1124,5.944839857651245
중구,을지로동,17184.20539905914,0.0,29.0,1565.9985564516128,10.973321353499031,91.0,7.0,178.0,17.0,3.0,20.0,1912,468,4.085470085470085
중구,신당5동,7626.547196505376,0.0,29.0,828.9863536290322,9.199846490981228,201.0,31.0,340.0,8.0,0.0,8.0,10513,1875,5.606933333333333
중구,황학동,13134.121671774194,4.0,29.0,1462.2132385752689,8.982357241254112,214.0,20.0,413.0,7.0,1.0,8.0,13459,2077,6.48001925854598
중구,중림동,8322.428274596774,2.0,29.0,897.2339193548387,9.2756505244263,221.0,33.0,359.0,10.0,1.0,11.0,12338,2205,5.5954648526077095
중구,신당동,22116.83454408602,29.0,29.0,1936.2842291666666,11.422307846614343,193.0,22.0,359.0,8.0,3.0,11.0,9087,1517,5.990112063282795
중구,다산동,14993.252804838708,0.0,29.0,1783.7942059139784,8.405259281104394,190.0,43.0,476.0,8.0,0.0,8.0,13954,2819,4.949982263213905
중구,약수동,13256.743570833334,0.0,29.0,2022.8110311827957,6.553624321042848,418.0,110.0,596.0,12.0,2.0,14.0,16610,4001,4.151462134466383
중구,청구동,11131.702208064517,0.0,29.0,1446.2256041666665,7.697071726564228,318.0,47.0,460.0,5.0,1.0,6.0,13451,2844,4.729606188466948
중구,동화동,10386.934321639785,0.0,29.0,1324.4020663978495,7.842734910472087,67.0,15.0,255.0,4.0,0.0,4.0,10199,1955,5.216879795396419
용산구,후암동,12199.954618817206,5.0,38.0,1345.5242924731183,9.067063810786562,268.0,32.0,584.0,19.0,0.0,19.0,16812,3008,5.589095744680851
용산구,용산2가동,12559.262545564516,0.0,29.0,1297.8486483870968,9.676985495321475,168.0,19.0,354.0,26.0,1.0,27.0,10333,2045,5.0528117359413205
용산구,남영동,16347.61367889785,1.0,93.0,1448.7711146505376,11.283779413866286,520.0,3.0,346.0,20.0,2.0,22.0,7552,1562,4.8348271446863
용산구,원효로2동,16119.316816801074,0.0,29.0,1842.9390172043009,8.746527511937826,177.0,14.0,347.0,26.0,0.0,26.0,13795,2331,5.9180609180609185
용산구,효창동,9383.937602822582,4.0,35.0,1090.4508701612904,8.605557443807246,49.0,9.0,244.0,15.0,0.0,15.0,10888,1579,6.895503483217226
용산구,용문동,8509.639851344085,4.0,30.0,1002.7105030913979,8.486636796072759,183.0,17.0,289.0,16.0,1.0,17.0,11664,2172,5.370165745856354
