시군구명,행정동명,총생활인구수,총노인시설수,입소정원,총노인생활인구수,노인생활인구비율,국민기초생활보장 수급권자,저소득노인,normal,Total bus,Total subway,Total Transportation,전체인구,65세이상 인구,고령자 비율,총독거노인수,노인시설수요량,Cluster_Labels
광진구,자양3동,24437.51774,0,29,2438.046822,10.02339968,107,42,809,18,1,19,27858,4495,6.197552836,958,33.03448275862069,3
광진구,자양4동,28831.07017,0,29,2727.527947,10.57040321,358,76,1134,12,1,13,21260,3879,5.480794019,1568,54.06896551724138,3
동대문구,회기동,20841.7972,1,150,1632.039297,12.77040157,84,15,349,9,0,9,13536,1556,8.699228792,448,1.9866666666666668,1
동대문구,휘경1동,16964.48708,0,29,1636.097547,10.36887263,110,18,367,15,2,17,16339,2173,7.519098021,495,17.06896551724138,1
동대문구,휘경2동,19577.39017,0,29,2115.508152,9.254225821,181,34,709,17,0,17,24666,4112,5.998540856,924,31.862068965517242,3
동대문구,청량리동,20534.33154,14,20,3645.655912,5.632547896,837,78,1053,23,0,23,19094,5467,3.492591915,1968,84.4,0
동대문구,용신동,41890.57829,0,29,5121.416673,8.179490357,706,55,1315,38,7,45,36137,6147,5.878802668,2076,71.58620689655173,0
동대문구,제기동,32198.27615,6,24,4689.975856,6.865339427,694,78,1182,27,2,29,26484,5855,4.523313407,1954,75.41666666666667,0
동대문구,전농1동,31929.54173,0,29,3547.608511,9.00030024,701,106,1072,33,2,35,29220,5816,5.024071527,1879,64.79310344827586,0
동대문구,전농2동,16144.29251,0,29,1852.766996,8.713611886,287,43,529,12,0,12,18629,3813,4.88565434,859,29.620689655172413,3
동대문구,답십리2동,20437.79075,0,29,2657.978478,7.689223563,479,87,803,20,0,20,28055,5780,4.853806228,1369,47.206896551724135,0
동대문구,장안1동,34374.34547,0,29,3555.816954,9.667073957,416,65,1105,27,1,28,38677,6799,5.688630681,1586,54.689655172413794,0
동대문구,장안2동,28389.64242,0,29,2971.260749,9.554746222,316,54,880,33,0,33,32685,5424,6.025995575,1250,43.10344827586207,0
동대문구,이문1동,26354.48836,0,29,1893.089414,13.92141764,232,45,566,26,0,26,21366,3234,6.606679035,843,29.06896551724138,1
동대문구,이문2동,13358.71022,0,29,1838.642549,7.265528704,349,52,620,10,3,13,20183,4126,4.891662627,1021,35.206896551724135,3
동대문구,답십리1동,21509.69667,0,29,2320.465131,9.26956255,283,43,655,26,2,28,28530,4166,6.848295727,981,33.827586206896555,3
중랑구,면목2동,19858.03444,0,29,2500.038144,7.943092585,510,40,976,23,0,23,24206,4783,5.060840477,1526,52.62068965517241,3
중랑구,면목4동,16091.08707,0,29,2180.775289,7.378608495,530,27,547,14,1,15,18746,3919,4.783363103,1104,38.06896551724138,3
중랑구,면목5동,11305.76183,0,29,1339.70248,8.439009408,184,10,376,14,0,14,14836,2380,6.233613445,570,19.655172413793103,1
중랑구,면목7동,17156.85845,0,29,2434.986312,7.045977369,349,28,731,17,1,18,21798,4467,4.879785091,1108,38.206896551724135,3
중랑구,상봉1동,16671.42593,0,29,1875.656644,8.888314389,441,22,588,16,4,20,23714,3995,5.9359199,1051,36.241379310344826,3
중랑구,상봉2동,25041.93668,0,29,2524.424432,9.919859894,309,19,672,15,1,16,20612,3079,6.694381293,1000,34.48275862068966,1
중랑구,중화1동,14467.96169,0,29,1806.185033,8.010232301,284,21,632,14,0,14,19293,3835,5.030769231,937,32.310344827586206,3
